Path, Class
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub29.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub3.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub30.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub31.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub32.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub33.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub34.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub35.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub36.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub37.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub38.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub39.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub4.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub40.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub41.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub42.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub43.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub44.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub45.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub46.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub47.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub48.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub49.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub5.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub50.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub51.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub52.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub53.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub54.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub55.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub56.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub57.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub58.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub59.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub6.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub60.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub61.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub62.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub63.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub64.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub65.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub66.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub67.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub68.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub69.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub7.txt,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub70.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub71.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub72.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub73.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub74.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub75.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub76.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub77.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub78.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub79.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub8.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub80.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub81.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub82.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub83.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub84.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub85.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub86.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub87.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub88.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub89.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub9.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub90.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub91.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub92.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub93.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub94.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub95.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub96.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub97.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub98.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub99.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed106.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed107.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed108.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed109.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed110.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed111.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed112.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed113.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed114.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed115.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed116.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed117.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed118.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed119.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed120.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed121.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed122.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed123.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed124.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed125.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed126.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed127.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed128.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed129.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed130.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed131.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed132.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed133.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed134.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed135.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed136.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed137.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed138.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed139.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed140.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed141.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed142.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed143.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed144.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed145.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed146.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed147.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed148.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed149.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed150.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed151.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed152.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed153.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed154.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed155.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed156.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed157.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed158.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed159.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed160.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed161.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed162.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed163.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed164.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed165.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed166.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed167.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed168.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed169.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed170.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed171.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed172.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed173.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed174.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed175.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed176.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed177.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed178.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed179.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed180.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed181.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed182.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed183.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed184.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed185.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed186.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed187.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed188.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed189.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed190.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed191.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed192.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed193.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed194.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed195.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed196.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed197.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed198.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed199.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed200.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed201.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed202.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed203.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed204.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed205.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed206.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed207.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed208.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed209.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed210.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed211.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed212.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed213.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed214.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed215.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed216.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed217.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed218.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed219.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed220.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed221.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed222.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed223.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed224.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed225.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed226.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed227.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed228.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed229.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed230.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed231.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed232.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed233.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed234.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed235.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed236.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed237.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed238.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed239.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed240.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed241.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed242.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed243.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed244.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed245.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed246.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed247.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed248.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed249.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed250.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed251.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed252.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed253.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed254.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed255.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed256.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed257.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed258.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed259.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed260.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed261.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed262.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed263.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed264.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed265.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed266.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed267.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed268.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed269.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed270.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed271.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed272.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed273.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed274.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed275.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed276.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed277.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed278.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed279.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed280.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed281.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed282.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed283.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed284.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed285.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed286.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed287.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed288.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed289.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed290.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed291.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed292.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed293.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed294.points,bed
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bed\train\bed295.points,bed
